,id,T,formula,database,zT_pred,zT_std
67939,657916,1000,FePrSb2,ICSD,0.573551,0.310957
67952,603354,700,FeRh2Se4,ICSD,0.869547,0.319773
67978,657917,1000,FeSb2Sm,ICSD,0.541964,0.3176
67996,9012125,700,FeSe2,COD,0.816799,0.319639
68066,2106076,700,Ga13K3,COD,0.513089,0.316651
68067,7221113,1000,Ga13Na7,COD,0.578643,0.295917
68091,4106293,700,Ga16Se33Zn4,COD,1.14532,0.317369
68106,7221336,1000,Ga29In12Na17,COD,0.568922,0.291319
68134,5910282,700,Ga2HgSe4,COD,1.206,0.305605
68135,53575,700,Ga2HgTe4,ICSD,1.2483,0.282366
68147,300196,1000,Ga2K2Sb3,ICSD,0.610705,0.297351
68155,634508,1000,Ga2LaNi,ICSD,0.529943,0.274875
68167,1523559,1000,Ga2Mg,COD,0.5956,0.290355
68168,1522852,1000,Ga2Mg5,COD,0.512886,0.306562
68187,634818,1000,Ga2Nd3Ni6,ICSD,0.510119,0.301089
68190,1523732,1000,Ga2NdNi,COD,0.587428,0.318869
68197,634879,1000,Ga2Ni6Pr3,ICSD,0.505856,0.303133
68202,634882,1000,Ga2NiPr,ICSD,0.547766,0.304887
68204,634931,1000,Ga2NiSm,ICSD,0.595246,0.328139
68207,1523101,1000,Ga2NiY,COD,0.504994,0.277892
68231,635052,700,Ga2PbSe4,ICSD,1.21327,0.281502
68251,1522720,1000,Ga2Sc,COD,0.542497,0.286301
68254,37168,700,Ga2Se3,ICSD,1.12481,0.308201
68254,37168,1000,Ga2Se3,ICSD,1.20928,0.314971
68258,5910318,700,Ga2Se4Zn,COD,1.14306,0.322149
68262,150473,1000,Ga2Sr,ICSD,0.557741,0.31412
68267,657608,700,Ga2Te3,ICSD,1.16617,0.263799
68267,657608,1000,Ga2Te3,ICSD,1.17644,0.307812
68268,5910274,700,Ga2Te4Zn,COD,1.17642,0.282851
68269,635505,700,Ga2Te5,ICSD,1.12176,0.285954
68269,635505,1000,Ga2Te5,ICSD,1.17247,0.309648
68277,1523309,1000,Ga2Y,COD,0.570768,0.278176
68283,2106103,1000,Ga39Na22,COD,0.581434,0.29859
68303,66031,700,Ga3ITe3,ICSD,1.21513,0.296155
68304,634434,700,Ga3InTe5,ICSD,1.15844,0.306961
68307,160496,1000,Ga3K2,ICSD,0.570453,0.311046
68372,1522711,1000,Ga3Zr2,COD,0.507577,0.306136
68384,250747,700,Ga4GePb4Se12,ICSD,1.23272,0.261686
68390,634403,1000,Ga4HoTi2,ICSD,0.60003,0.329848
68395,1533157,1000,Ga4LiY,COD,0.563726,0.269243
68418,635352,1000,Ga4ScTi2,ICSD,0.503121,0.280905
68419,635353,1000,Ga4ScV2,ICSD,0.505314,0.280004
68420,4001921,700,Ga4Se7Sn,COD,1.1451,0.30172
68420,4001921,1000,Ga4Se7Sn,COD,1.20505,0.309987
68424,635504,1000,Ga4TbTi2,ICSD,0.585838,0.320918
68426,1522456,1000,Ga4Ti2Y,COD,0.51241,0.282513
