formula,database,id,T,rho_pred,seebeck_abs_pred,kappa_pred,zT_pred,rho_var,seebeck_abs_var,kappa_var,zT_var
Co4Sn13Yb3,ICSD,625310,700,1.91281e-05,0.000184177,1.72342,1.12992,2.49049e-10,7.7034e-09,1.33879,0.299468
Co6Er7Sn23,ICSD,622861,700,2.01729e-05,0.00017446,2.00435,1.05979,3.14425e-10,8.3336e-09,2.03245,0.841538
CoIn2Se4,ICSD,658918,700,4.82316e-05,0.000211754,1.37048,1.02385,0.000267179,8.10719e-09,14.7715,0.427856
Cu14Se10Tl5,COD,4030182,700,0.000270676,0.00020837,0.534614,1.02614,1845.61,9.44427e-09,0.774039,0.311637
Cu2GeHgSe4,ICSD,152761,700,0.00011398,0.000197038,0.876341,1.04998,44.9337,5.65854e-09,1.98392,0.519457
Cu2GeSe3,ICSD,70056,700,5.09357e-05,0.000202432,0.910402,1.01738,1.23136e-05,1.31288e-08,1.31302,0.116585
Cu2GeSe4Zn,ICSD,627827,700,9.65586e-05,0.000190918,0.816422,1.04168,0.00866562,1.41726e-08,0.858005,0.117646
Cu2HgSe4Sn,ICSD,627936,700,0.000131103,0.000211939,0.853704,1.05515,985.991,5.85983e-09,1.82439,0.552172
Cu2LuSn2,ICSD,603428,700,3.96524e-05,0.000162064,1.16449,1.11541,7.10867e-05,1.65475e-08,4.02858,0.333727
Cu2Se2Tl,ICSD,629124,700,0.000425213,0.000212836,0.550131,1.06647,1.07582e+07,9.17308e-09,0.911559,0.355752
Cu2Se4SnZn,ICSD,189278,700,5.94193e-05,0.000187226,0.825355,1.031,0.00363056,4.01398e-09,1.05845,0.148914
Cu3Se2Tl,ICSD,68524,700,0.000332737,0.000218896,0.527098,1.02126,139.704,1.02514e-08,0.712345,0.302892
Cu4In9Se16,ICSD,53295,700,8.01469e-05,0.000196343,1.17726,1.04456,149.468,4.48683e-09,6.1523,0.407615
Cu9Sn4Yb,ICSD,154446,700,3.15641e-05,0.000175758,0.935248,1.03751,2.46075e-07,1.03463e-08,1.26025,0.24304
CuGaSe2,ICSD,42097,700,7.40111e-05,0.000201072,0.701408,1.02967,0.00349266,6.16901e-09,1.4247,0.116076
CuInSe2,COD,4105347,700,6.66259e-05,0.000202882,0.876635,1.00484,0.00217878,6.15208e-09,3.14999,0.383471
CuNb2Se12Tl3,COD,4000525,700,2.37054e-05,0.000185023,1.40731,1.08372,2.47135e-05,5.68679e-09,13.4962,0.295892
CuTe3Tl4,ICSD,629347,700,0.000276874,0.000249322,0.889856,1.31055,198761,6.10068e-09,2.08869,0.10986
DyPb3,COD,1524912,700,3.52637e-05,0.000162502,1.55924,1.01051,1.7389e-08,7.76602e-09,2.91739,0.749245
Er2NiSn6,ICSD,630882,700,2.28141e-05,0.000162254,1.8538,1.02905,1.02723e-09,8.07409e-09,1.87548,0.305936
ErPb3,COD,1524771,700,3.22984e-05,0.000163177,1.53941,1.04535,1.27326e-08,8.13426e-09,2.81571,0.577603
Eu3Pb13Rh4,ICSD,631512,700,2.3532e-05,0.000155569,1.58054,1.12402,3.1522e-08,1.04415e-08,3.13201,0.932207
EuGa2Te4,ICSD,631273,700,2.81236e-05,0.000168649,1.31314,1.0751,9.42719e-08,8.31296e-09,1.59941,0.251952
