id,formula,database,T,zT_pred
4313754,C12H14N8Pt,COD,700,0.4552452
4028339,C17H18S2,COD,1000,0.45523733
7011345,CClN2S2,COD,700,0.45523158
2100502,C15H16N2O2,COD,1000,0.45522875
16615,N2O14S3,ICSD,700,0.45522615
2005857,C14H3ClO14Os5,COD,700,0.45522246
2012723,C12H19N5,COD,1000,0.45521373
73818,Br6Hg7P4,ICSD,700,0.45521024
7151181,C6H11BrO6,COD,1000,0.45519865
2011270,C8H18N2O9,COD,1000,0.4551932
4022591,C20H27N5O11S,COD,1000,0.45518994
7001116,C21H24Fe,COD,1000,0.4551814
7001721,C15H21N6Si,COD,1000,0.45517853
245924,B2K3O6Sm,ICSD,1000,0.45517516
2201988,C15H15N5O9,COD,1000,0.45515132
4022524,C9H11PS3Se,COD,700,0.45514858
615207,BPt2,ICSD,700,0.45514742
1511297,BPd3Sm,COD,700,0.4551455
62279,Cl4Si,ICSD,700,0.4551455
659007,CB2Ni2U,ICSD,1000,0.45514312
