,id,T,formula,database,zT_pred,zT_std
8129,25396,700,Ba2DyO6Re,ICSD,0.10913836,0.050367743
2805,250339,700,AlMo2O8Tl,ICSD,0.109128065,0.047465727
56501,166737,1000,Cd2O5U,ICSD,0.10911833,0.08004583
65413,27277,700,EuFeO3,ICSD,0.10911393,0.047149964
511,1509210,700,AgBF4,COD,0.109111115,0.07408929
61517,188476,1000,CrMnO6Y2,ICSD,0.10910886,0.054709755
60787,1528236,1000,CoMg,COD,0.109102696,0.073844135
7033,614480,700,B6Ho2Ni3,ICSD,0.10910042,0.06437684
74975,657924,1000,LaMgPd,ICSD,0.109087124,0.08825346
55201,80955,700,CInY3,ICSD,0.109078914,0.10887931
77485,80426,700,NaO12P3Ti2,ICSD,0.10907821,0.05942937
60288,624001,700,Co7La2,ICSD,0.10907759,0.09836039
2332,87663,700,AlCaFO4Si,ICSD,0.10907368,0.063851014
76612,2100726,700,Mo16O24Pb7,COD,0.10906387,0.044095296
61526,108340,1000,CrN3Th2,ICSD,0.109053485,0.072761804
8296,408938,700,Ba2Mg3Si4,ICSD,0.109036304,0.075771116
61576,28909,700,CrO3Y,ICSD,0.109031565,0.07771529
9873,616261,1000,Be13Er,ICSD,0.109029606,0.11395899
59964,625640,700,Co2Y,ICSD,0.1090294,0.10794081
2846,1524488,700,AlNd2,COD,0.10902817,0.1126613
76816,72638,700,Mo9O25,ICSD,0.109024994,0.07972179
77426,91314,700,Na6O23U5V2,ICSD,0.10902248,0.08459432
35931,4080015,700,C26H38Ti,COD,0.10900793,0.2499435
13505,2000639,700,C10HgMn2O10,COD,0.108998165,0.03603044
70991,66968,1000,H2MnO8Se2,ICSD,0.10899302,0.07424265
52955,1100999,1000,C8Mo9N2O39,COD,0.10894309,0.09634185
76214,9004431,1000,Mn2O8Te3,COD,0.10894005,0.054052807
54331,16422,1000,CAsF5N2OS2,ICSD,0.10893423,0.12864023
67603,56614,700,FeGe2O7Tb,ICSD,0.10893155,0.04291848
