id,T,formula,database,zT_pred,zT_std,mp_id,source
9011287,1000,AuTe2,COD,1.8246113,0.16728072,,greedy
174373,1000,Cu3KSe5Tm2,ICSD,1.8237565,0.17644277,mp-865972,greedy
68524,1000,Cu3Se2Tl,ICSD,1.8233273,0.15604717,mp-8800,greedy
648842,1000,Pd5SeTl,ICSD,1.8231043,0.1393415,mp-1025248,both
617113,1000,BiSe2Tl,ICSD,1.8225813,0.16202676,mp-29662,both
1532891,1000,Br2Hg3Se2,COD,1.8215655,0.14736612,mp-31075,both
1527527,1000,AsSe3Tl3,COD,1.81599,0.13336185,mp-7684,gurobi
245518,1000,Bi12Br2Rh3,ICSD,1.8140433,0.14452516,mp-645514,gurobi
411136,1000,Bi9I3Rh2,ICSD,1.8111893,0.13057245,mp-541979,both
411218,1000,BiBr7Hg6Sb4,ICSD,1.8110209,0.12774456,mp-568828,gurobi
656152,1000,Cu2HgSiTe4,ICSD,1.8067204,0.12959653,mp-1080131,gurobi
85598,1000,Cs2Hg3S8Sn2,ICSD,1.8040718,0.13428152,mp-561185,gurobi
423016,1000,Bi3IIn2Se7,ICSD,1.797921,0.13598707,mp-1198248,gurobi
391336,1000,Bi3Ni,ICSD,1.7976921,0.13569736,mp-23179,gurobi
406636,1000,Bi7Br8Rh,ICSD,1.7953882,0.14934856,mp-29516,gurobi
250250,1000,PbSb2Te4,ICSD,1.7806828,0.12986416,mp-31507,gurobi
611388,1000,AsSe4Tl3,ICSD,1.7798321,0.12500878,mp-1201566,gurobi
4000658,1000,CdSnTe4Tl2,COD,1.7784162,0.14742273,mp-570076,gurobi
7221245,1000,I6PbTl4,COD,1.773745,0.13388382,mp-29212,gurobi
629135,1000,Cu4Se3Tl,ICSD,1.7717595000000002,0.14832893,mp-1025447,gurobi
37190,1000,I6K2Pt,ICSD,1.7704233,0.13316388,mp-28247,gurobi
152761,1000,Cu2GeHgSe4,ICSD,1.7678648,0.1362295,mp-12855,gurobi
4000657,1000,CdGeTe4Tl2,COD,1.7669194,0.13970974,mp-568890,gurobi
416238,1000,AsHg4I5,ICSD,1.7634831999999998,0.12854427,mp-567798,gurobi
656156,1000,Cu2SnTe4Zn,ICSD,1.7627080000000002,0.13450915,mp-1079468,gurobi
1010211,1000,Br5Pb2Rb,COD,1.7578186000000002,0.12592311,mp-23043,gurobi
4000819,1000,Hg3Te4Tl2,COD,1.7577691000000002,0.104412965,mp-1190100,gurobi
1528242,1000,CrI6Tl4,COD,1.7562071,0.13467613,,gurobi
656157,1000,CdCu2SnTe4,ICSD,1.7536098000000002,0.1386823999999999,mp-1091413,gurobi
620549,1000,CdTe4Tl2,ICSD,1.7508863999999995,0.13404563,mp-1025299,gurobi
1510307,1000,AuSn4,COD,1.7496127,0.11763559,mp-1393,gurobi
86895,1000,I5PbTl3,ICSD,1.7431153999999998,0.14490736,mp-23380,both
83806,1000,BiBr4Te2,ICSD,1.7402567,0.14299664,mp-29127,gurobi
1524519,1000,Pb2Rh,COD,1.7398627,0.14345278,mp-321,gurobi
75169,1000,As3BrHg2,ICSD,1.7388449,0.14446452,mp-28899,both
245517,1000,Bi14Rh3,ICSD,1.7350827000000002,0.14330846,mp-581527,gurobi
150127,1000,AuNi2Sn4,ICSD,1.7319973999999998,0.118522674,mp-568925,gurobi
55068,1000,Bi2K,ICSD,1.727416,0.14685658,mp-23279,gurobi
7109280,1000,Au4S3Tl2,COD,1.7245908,0.12939572,mp-29898,gurobi
9009196,1000,Br2Pb,COD,1.7219533,0.1297258,mp-28077,gurobi
1510598,1000,AuBiBr6,COD,1.7195444,0.13418868,mp-541774,gurobi
1522862,1000,PtSn4,COD,1.7183548,0.12126002,mp-20662,gurobi
7222183,1000,CdSbTl,COD,1.7175317,0.1371582,mp-7379,gurobi
9016654,1000,As2Pt,COD,1.7156153000000005,0.1429077,mp-2513,gurobi
1531463,1000,Hg2Se4Sn,COD,1.715252,0.1257354,mp-10955,both
4302601,1000,In2Pb4Sb4Se13,COD,1.713956,0.14700079,mp-1205220,gurobi
405774,1000,Br6PdSe2,ICSD,1.7111621,0.13791524,mp-29496,gurobi
4000782,1000,GaSe2Tl,COD,1.7102945,0.14816391,,gurobi
85681,1000,AsAuK2S4,ICSD,1.7096283,0.13731556,mp-9511,gurobi
9008155,1000,HgI2,COD,1.7065423,0.14069462,mp-567471,gurobi
43683,1000,Ge3Pt2,ICSD,1.7033153000000003,0.14859682,mp-542587,gurobi
411481,1000,As4Br7CrHg6,ICSD,1.7024404999999998,0.14990279,mp-567329,gurobi
1510244,1000,AuNaSe2,COD,1.7009740000000002,0.14654577,mp-29139,gurobi
63623,1000,HgKS3Sb,ICSD,1.6997528999999998,0.1453349,mp-6678,gurobi
90153,1000,BiKP2Se6,ICSD,1.6995838,0.13442269,mp-568802,gurobi
60084,1000,GaInTe2,ICSD,1.6987458,0.14231634,mp-20408,both
413457,1000,GaI3,ICSD,1.6985366000000002,0.13600734,mp-30954,gurobi
201144,1000,GeI3Tl,ICSD,1.6980461,0.14311776,mp-29288,gurobi
35418,1000,Br4KTl,ICSD,1.6944963,0.14634153,mp-28048,gurobi
416512,1000,NiPd2Te2,ICSD,1.6828521,0.148545,mp-12463,gurobi
43684,1000,Ge2Pt,ICSD,1.6767589,0.117384344,mp-1543,gurobi
151872,1000,Cu2GeTe3,ICSD,1.6759099999999998,0.14292386,mp-12806,gurobi
4027808,1000,AgITe3,COD,1.672348,0.1181021,mp-570431,both
56210,1000,HgSe,ICSD,1.6719943,0.13911903,mp-957,gurobi
400668,1000,Ga7Te10,ICSD,1.6698806000000002,0.12866765,mp-18388,gurobi
5910295,1000,CdGa2Te4,COD,1.6688485,0.12839767,,both
1532042,1000,GeHg2Se4,COD,1.6646365,0.13311438,mp-3167,gurobi
42752,1000,Pt3Sb2,ICSD,1.6633563000000002,0.13321494,mp-15659,gurobi
5910274,1000,Ga2Te4Zn,COD,1.6593207,0.14742032,,gurobi
2106460,1000,In2Te5,COD,1.6582278,0.14091197,mp-1197742,gurobi
1525202,1000,IInTe,COD,1.657795,0.13881856,mp-29234,gurobi
1527269,1000,Ga2LiPt,COD,1.6575905,0.1459223,mp-20363,gurobi
4031247,1000,CrPb2,COD,1.6573523999999995,0.14715196,mp-1072023,gurobi
4000567,1000,BaCu2Se4Sn,COD,1.6568003,0.1252888,mp-12364,gurobi
66032,1000,IIn3Te3,ICSD,1.6540518,0.14501227,mp-616327,gurobi
612019,1000,Au3In2,ICSD,1.6521677,0.13458908,mp-1017579,gurobi
240354,1000,AsBrCdHg,ICSD,1.6521363000000002,0.1431532,mp-569454,gurobi
5910282,1000,Ga2HgSe4,COD,1.6520456,0.119910866,,gurobi
4030787,1000,ErRbS2,COD,1.6517656000000005,0.13784489,mp-9367,gurobi
