# List of unique stable 3D crystal structures from the COD (free) and ICSD (not free) databases.
# Created by Nicola Marzari’s group involving some cleaning to remove implausible materials.
formula,database,id
AgCu4Tm,ICSD,605053
AgCu4U,ICSD,603921
AgCu4Yb,ICSD,605055
AgCuF3,ICSD,174407
AgCuO2,COD,1509289
AgCuO4P,ICSD,165596
AgCuO4V,ICSD,419202
AgCuS,ICSD,251149
AgCuSe,COD,9008069
AgCuTe2,COD,1509294
AgDy,COD,1509296
AgDyGe,COD,1509298
AgDyMg,ICSD,657937
AgDyPb,ICSD,107106
AgDyS2,ICSD,656498
AgDySb2,COD,1509300
AgDySe2,ICSD,605083
AgDySi,ICSD,605085
AgDySn,COD,7209333
AgDyTe2,ICSD,154794
AgEr,COD,1509303
AgErGe,COD,1509305
AgErMg,ICSD,657938
AgErO8W2,ICSD,27743
AgErP2Se6,ICSD,420303
AgErPb,ICSD,107276
AgErS2,ICSD,423921
AgErSe2,COD,2106761
AgErSi,ICSD,605116
AgErSn,ICSD,417551
AgErTe2,ICSD,605120
AgEu,COD,1509312
AgEu2Si3,COD,1509797
AgEuO12P4,COD,2220992
AgEuO4Ti,ICSD,78720
AgEuP,COD,7209335
AgEuSb,COD,7209336
AgF,COD,9008598
AgF10PXe2,ICSD,412662
AgF11NaZr2,ICSD,65179
AgF11PdZr2,ICSD,65181
AgF11Sb2,COD,4312674
AgF12Sb2,COD,4027805
AgF12Ta2,COD,1509318
AgF2,COD,1509321
AgF24ISb3,ICSD,420464
AgF2O6S2,ICSD,422414
AgF30O6S16SbTe6,ICSD,412325
AgF3K,COD,7200990
AgF3Rb,COD,1509323
AgF3Zn,COD,4119063
AgF4H8MnO4,ICSD,74965
AgF4K,COD,1509325
AgF4K2,ICSD,421461
AgF4Na,COD,1509326
AgF4Na2,ICSD,425149
AgF4OV,ICSD,427626
AgF6O2SSb,ICSD,380287
AgF6Pd,COD,1509328
AgF6S16Sb,ICSD,412324
AgF6Sb,COD,1509331
AgF6SbSe2,COD,7015144
AgF6Sn,COD,1509332
AgF6Ta,COD,1509333
AgF6Ti,COD,1509334
AgF7Ir,COD,4331395
AgF7Ru,COD,4331396
AgF9Xe,COD,4331397
AgFH12N4,ICSD,419924
AgFSSr,ICSD,183709
AgFSeSr,ICSD,183710
AgFSrTe,ICSD,183711
AgFe13Nd6,ICSD,658942
AgFe13Pr6,ICSD,54498
AgFe2GaTe4,ICSD,192470
AgFe2Mo3O12,ICSD,260380
AgFe2S3,COD,9013697
AgFeO2,COD,2105341
AgFeO6Se2,ICSD,90414
AgFeO7P2,ICSD,421413
AgFeO7V2,ICSD,166891
AgFeS2,COD,1509337
AgFeTe2,COD,1509338
AgGa,COD,1509342
AgGa40Mo8,ICSD,605172
AgGaO2,COD,1509345
AgGaP2Se6,ICSD,71970
AgGaS2,COD,1509348
AgGaSe2,COD,1509351
AgGaTe2,COD,1509354
AgGd,COD,1509358
AgGdGe,COD,1509361
AgGdI4O12,ICSD,427151
AgGdMg,ICSD,657936
AgGdMg2,ICSD,107733
AgGdO12P4,ICSD,154800
AgGdPb,ICSD,107104
AgGdS2,COD,1509363
AgGdSe2,ICSD,602138
AgGdSi,ICSD,605275
AgGdTe2,ICSD,605279
AgGe2Na5S7,ICSD,237455
AgGe2O12U2,COD,4316187
AgGeHo,COD,1509368
AgGeLa,COD,1509369
AgGeLa3S7,ICSD,605297
AgGeLi2,COD,4341947
AgGePr3S7,ICSD,605303
AgGeTb,COD,1509371
AgGeTm,ICSD,164587
AgGeYb,COD,8103393
AgH10N6O10Rh,ICSD,424970
AgH20N5O9S6,ICSD,418306
AgH2InO8P2,ICSD,418327
AgH2K3O7S4,ICSD,418300
AgH2NO3S,ICSD,60823
AgH2NaO4S2,ICSD,418298
AgH2Ni3O12P3,COD,2012691
AgH2O4V,ICSD,75941
AgH36I2N9O12S8,ICSD,418294
AgH36N11O18S8,ICSD,418290
AgH4MoNS4,ICSD,236249
AgH4NS4W,ICSD,84370
AgH5O9S2,ICSD,408948
AgH8N7O2P2S,ICSD,39347
AgHNO2P,ICSD,406086
AgHf,ICSD,605330
AgHfRbTe3,ICSD,402632
AgHg2NO5,ICSD,89685
AgHg2O4P,COD,1007029
AgHg2Ti,COD,1509376
AgHg3O6Sb,COD,2015031
AgHgIS,ICSD,54796
AgHgO2,COD,4331399
AgHgO4V,COD,4308659
AgHo,COD,1509378
AgHoPb,ICSD,107107
AgHoS2,COD,1509380
AgHoSe2,ICSD,605365
AgHoSn,COD,7209338
AgHoTe2,ICSD,605368
AgI,COD,2105342
