material_id,formula,icsd_ids
mp-2979,ZnGeN2,"[656277, 155463, 637166, 155462, 15144]"
mp-31235,BaNaBi,[413810]
mp-5784,Na2GeO3,"[1622, 16833, 23781]"
mp-29946,IO2F,[280804]
mp-31053,Ag2S,[98454]
mp-617180,Cs2V5O13,[849]
mp-6955,KGeNO,[60002]
mp-704943,Li2Mn3ZnO8,[26995]
mp-23326,Ca4Cl6O,"[418946, 33883]"
mp-27253,Au2O3,[8014]
mp-540635,BaSn(GeO3)3,[10384]
mp-1225041,DyZnSi,[]
mp-653429,Mn7FeCl3O10,[69062]
mp-979966,Yb2Cr2C3,[602482]
mp-980004,SmGa2Co,[600275]
mp-8700,K2Au3,[65113]
mp-8710,Ca2Pt3O8,[65412]
mp-8713,K2MnS2,[65453]
mp-8714,Rb2MnS2,[65454]
mp-8716,K2MnSe2,[65456]
mp-7639,Na2CuP,[1153]
mp-872,BaSn,"[659549, 58678]"
mp-8727,Ba4PtO6,[65706]
mp-8752,Na4CdP2,[67262]
mp-8753,K4HgP2,[67263]
mp-8754,NaLiTe,[67274]
mp-8759,Cs2ZrO3,[67345]
mp-8760,Dy5P12Ru19,[67352]
mp-6564,Sr2MgSi2O7,"[183978, 261226, 155300, 31308]"
mp-9801,HfCoAs,[406953]
mp-8793,Nd5(FeB3)2,"[657454, 657451, 68328]"
mp-8809,BaLa2PtO5,[68794]
mp-7224,ThC2,"[26568, 202306]"
mp-980205,YB4Os,[615147]
mp-8868,Ba3NaN,[67497]
mp-8871,CsNa2BO3,[67524]
mp-8872,RbNa2BO3,[67525]
mp-888,CaAs,"[43875, 26263]"
mp-8896,Sr2B4Rh5,[66769]
mp-8914,SrGaSn,"[166387, 66003]"
mp-8919,ErPPd,[69673]
mp-8930,K2GeAs2,[71222]
mp-6645,Ba14Na14CaN6,"[155131, 404430, 81845]"
mp-7810,UVC2,[23742]
mp-665747,EuAg,[]
mp-7250,Nb6Co7,"[624289, 108305, 102550]"
mp-980757,Sm5Sb3,"[651553, 601762, 656380]"
mp-6661,BaTi(SiO3)3,"[290225, 290227, 290229, 290230, 290226, 290228, 36185]"
mp-980760,SmNiGe2,"[637393, 658578]"
